ハピナス	242	496	129	169
ジガルデ(パーフェクトフォルム)	718	389	184	207
ザシアン(けんのおう)	888	192	332	240
ケッキング	289	284	290	166
ルギア	249	235	193	310
ブラックキュレム	646	245	310	183
ホワイトキュレム	646	245	310	183
ムゲンダイナ	890	268	278	192
ザマゼンタ(たてのおう)	889	192	250	292
アクジキング	799	440	188	99
レジギガス	486	221	287	210
ソルガレオ	791	264	255	191
ルナアーラ	792	264	255	191
カイオーガ	382	205	270	228
グラードン	383	205	270	228
レジドラゴ	895	400	202	101
ガチグマ	901	277	243	181
ディアルガ(オリジンフォルム)	483	205	270	225
メロエッタ(ボイスフォルム)	648	225	250	225
ウツロイド	793	240	249	210
パルキア(オリジンフォルム)	484	189	286	223
ホウオウ	250	214	239	244
ネクロズマ(たそがれのたてがみ)	800	200	277	220
ネクロズマ(あかつきのつばさ)	800	200	277	220
ミュウツー	150	214	300	182
ギラティナ(オリジンフォルム)	487	284	225	187
ギラティナ(アナザーフォルム)	487	284	187	225
ガブリアス	445	239	261	193
ディアルガ	483	205	275	211
レシラム	643	205	275	211
ゼクロム	644	205	275	211
ザルード	893	233	242	215
カビゴン	143	330	190	169
パルキア	484	189	280	215
バンギラス	248	225	251	207
ドサイドン	464	251	241	190
ザシアン(れきせんのゆうしゃ)	888	192	254	236
ザマゼンタ(れきせんのゆうしゃ)	889	192	254	236
ゼルネアス	716	246	250	185
イベルタル	717	246	250	185
メルメタル	809	264	226	190
レジロック	377	190	179	309
レジアイス	378	190	179	309
ハルクジラ	975	347	208	123
ラッキー	113	487	60	128
メタグロス	376	190	257	228
フーパ(ときはなたれしすがた)	720	173	311	191
アーマードミュウツー	150	214	182	278
ジガルデ(50%フォルム)	718	239	203	232
ヒードラン	485	209	251	213
ランドロス(れいじゅうフォルム)	645	205	289	179
カイリュー	149	209	263	198
ラティオス	381	190	268	212
クレセリア	488	260	152	258
ヌメルゴン	706	207	220	242
デンジュモク	796	195	330	144
ヒスイクレベース	713	216	214	238
レックウザ	384	213	284	170
ツンデツンデ	805	156	213	298
ヘイラッシャ	977	312	176	178
ドドゲザン	983	225	238	203
ネクロズマ	800	219	251	195
ラティアス	380	190	228	246
マーシャドー	802	207	265	190
ボーマンダ	373	216	277	168
テラキオン	639	209	260	192
キュレム	646	245	246	170
ケルディオ	647	209	260	192
ボルケニオン	721	190	252	216
エンテイ	244	251	235	171
ウーラオス	892	225	254	177
ダークライ	491	172	285	198
サザンドラ	635	211	256	188
ガラルフリーザー	144	207	250	197
シェイミ(スカイフォルム)	492	225	261	166
クレベース	713	216	196	240
ウルガモス	637	198	264	189
セグレイブ	998	229	254	168
ガラルサンダー	145	207	252	189
ランドロス(けしんフォルム)	645	205	261	182
マッシブーン	794	216	236	196
サンダー	145	207	253	185
ミュウ	151	225	210	210
セレビィ	251	225	210	210
ジラーチ	385	225	210	210
シェイミ(ランドフォルム)	492	225	210	210
ビクティニ	494	225	210	210
ボルトロス(れいじゅうフォルム)	642	188	295	161
カミツルギ	798	139	323	182
サーフゴー	1000	202	252	190
シャワーズ	134	277	205	161
ライコウ	243	207	241	195
ジャラランガ	784	181	222	240
フラージェス	671	186	212	244
ガラルファイヤー	146	207	202	231
スイクン	245	225	180	235
トゲキッス	468	198	225	217
ドラパルト	887	204	266	170
コノヨザル	979	242	220	178
ギャラドス	130	216	237	186
ファイヤー	146	207	251	181
オノノクス	612	183	284	172
カプ・テテフ	786	172	259	208
カミツオロチ	1019	235	216	186
カプ・ブルル	787	172	249	215
フリーザー	144	207	192	236
マンムー	473	242	247	146
ローブシン	534	233	243	158
ゴリランダー	812	225	239	168
カバルドン	450	239	201	191
コバルオン	638	209	192	229
ビリジオン	640	209	192	229
イシヘンジン	874	225	222	182
ボスゴドラ	306	172	198	257
ミロカロス	350	216	192	219
キテルグマ	760	260	226	141
サイドン	112	233	222	171
ドリュウズ	530	242	255	129
ハリテヤマ	297	302	209	114
ギガイアス	526	198	226	201
ゲノセクト	649	174	252	199
グソクムシャ	768	181	218	226
テッカグヤ	797	219	207	199
ニンフィア	700	216	203	205
ラムパルド	409	219	295	109
ラブトロス(けしんフォルム)	905	179	281	162
フーパ(いましめられしすがた)	720	173	261	187
レジスチル	379	190	143	285
トルネロス(けしんフォルム)	641	188	266	164
ボルトロス(けしんフォルム)	642	188	266	164
アシレーヌ	730	190	232	195
ラウドボーン	911	232	207	178
グレンアルマ	936	198	234	185
ラプラス	131	277	165	174
モジャンボ	465	225	207	184
ジバコイル	462	172	238	205
トルネロス(れいじゅうフォルム)	641	188	238	189
カプ・レヒレ	788	172	189	254
エムリット	481	190	212	212
アマルルガ	699	265	186	163
ヒスイウインディ	59	216	232	165
ポリゴンZ	474	198	264	150
アーケオス	567	181	292	139
ディアンシー	719	137	190	285
デオキシス(ディフェンスフォルム)	386	137	144	330
ガチゴラス	697	193	227	191
ガラルヒヒダルマ	555	233	263	114
ヒヒダルマ	555	233	263	114
ホエルオー	321	347	175	87
ウォーグル	628	225	232	152
ブリガロン	652	204	201	204
ソウブレイズ	937	181	239	189
ラグラージ	260	225	208	175
シャンデラ	609	155	271	182
ユクシー	480	181	156	270
ママンボウ	594	338	138	131
ゴーゴート	673	265	196	146
ナゲツケサル	766	225	222	160
オオニューラ	903	190	259	158
ドンファン	232	207	214	185
ドダイトス	389	216	202	188
グレイシア	471	163	238	205
ノココッチ	982	268	188	150
ガオガエン	727	216	214	175
ズガドーン	806	142	315	148
エンブオー	500	242	235	127
ランクルス	579	242	214	148
ヘラクロス	214	190	234	179
ワルビアル	553	216	229	158
カプ・コケコ	785	172	250	181
マルヤクデ	851	225	220	158
アグノム	482	181	270	151
ムシャーナ	518	253	183	166
ハガネール	208	181	148	272
サーナイト	282	169	237	195
エルレイド	475	169	237	195
ツンベアー	614	216	233	152
ウインディ	59	207	227	166
カイリキー	68	207	234	159
トドゼルガ	365	242	182	176
ブーバーン	467	181	247	172
マフォクシー	655	181	230	189
バンバドロ	750	225	230	145
ゴローニャ	76	190	211	198
アローラゴローニャ	76	190	211	198
アローラナッシー	103	216	230	153
エーフィ	196	163	261	175
アーゴヨン	804	177	263	159
バサギリ	900	172	253	174
ナッシー	103	216	233	149
リーフィア	470	163	216	219
フリージオ	615	190	190	218
デオキシス(アタックフォルム)	386	137	414	46
デオキシス(ノーマルフォルム)	386	137	345	115
クワガノン	738	184	254	158
ジュラルドン	884	172	239	185
ベトベトン	89	233	190	172
アローラベトベトン	89	233	190	172
フワライド	426	312	180	102
オリーヴァ	930	186	219	189
エンペルト	395	197	210	186
エレキブル	466	181	249	163
バッフロン	626	216	195	182
アマージョ	763	176	222	195
ウェーニバル	914	198	236	159
ナゲキ	538	260	172	160
ヒスイウォーグル	628	242	213	137
ポットデス	855	155	248	189
オーダイル	160	198	205	188
ヒスイジュナイパー	724	204	213	174
エースバーン	815	190	238	163
ハリーマン	904	198	222	171
ジーランス	369	225	162	203
サニゴーン	864	155	253	182
ヤバソチャ	1013	174	225	191
ハッサム	212	172	236	181
ハラバリー	939	240	184	165
